,Name,Genre,Year,Imdb Rating,Director,Votes,Gross,malesRating,malesCount,femalesRating,femalesCount
982,Mask,Biography,1985,7.2,Peter Bogdanovich,28941,48.23,7.1,16308,7.6,5378
983,Bad Education,Biography,2019,7.1,Cory Finley,39646,76.86,7.1,23645,7.1,4201
984,Fighting with My Family,Biography,2019,7.1,Stephen Merchant,80002,22.96,7.0,45075,7.3,12035
985,On the Basis of Sex,Biography,2018,7.1,Mimi Leder,33983,24.62,6.9,14273,7.4,8857
986,Can You Ever Forgive Me?,Biography,2018,7.1,Marielle Heller,51797,8.8,7.1,29090,7.2,8947
987,The Dig,Biography,2021,7.1,Simon Stone,72805,76.86,7.0,35724,7.2,11227
988,Race,Biography,2016,7.1,Stephen Hopkins,37611,19.1,7.0,22107,7.4,4543
989,Concussion,Biography,2015,7.1,Peter Landesman,94174,34.54,7.1,58139,7.3,11731
990,Everest,Biography,2015,7.1,Baltasar Kormákur,215620,43.48,7.0,132841,7.2,27669
991,The Glass Castle,Biography,2017,7.1,Destin Daniel Cretton,33427,17.27,7.0,16389,7.3,7842
992,Wild,Biography,2014,7.1,Jean-Marc Vallée,128405,37.88,7.1,70946,7.4,30025
993,Mandela: Long Walk to Freedom,Biography,2013,7.1,Justin Chadwick,27853,8.32,7.0,18444,7.3,4131
994,Tracks,Biography,2013,7.1,John Curran,29602,0.51,7.0,17517,7.4,6562
995,The Railway Man,Biography,2013,7.1,Jonathan Teplitzky,40101,4.44,7.0,24654,7.2,7626
996,War Dogs,Biography,2016,7.1,Todd Phillips,210853,43.03,7.1,129747,7.0,15264
997,Goodbye Christopher Robin,Biography,2017,7.1,Simon Curtis,27337,1.74,7.0,13125,7.3,6862
998,Chasing Mavericks,Biography,2012,7.1,Michael Apted,32752,6.0,7.0,20205,7.4,6325
999,The Devil's Double,Biography,2011,7.1,Lee Tamahori,62085,1.36,7.0,48444,7.2,5997
1000,Hababam Sinifi,Comedy,1975,9.3,Ertem Egilmez,40272,76.86,9.2,26198,9.4,3252
1001,La vita è bella,Comedy,1997,8.6,Roberto Benigni,679656,57.6,8.6,367588,8.9,110854
1002,Gisaengchung,Comedy,2019,8.5,Bong Joon Ho,752968,53.37,8.5,340047,8.5,78680
1003,The Intouchables,Comedy,2011,8.5,Olivier Nakache,836139,13.18,8.5,449291,8.7,132143
1004,Back to the Future,Comedy,1985,8.5,Robert Zemeckis,1168136,210.61,8.6,666016,8.4,134633
1005,Modern Times,Comedy,1936,8.5,Charles Chaplin,238346,0.16,8.5,144617,8.4,26011
1006,City Lights,Comedy,1931,8.5,Charles Chaplin,182239,0.02,8.5,112163,8.4,19902
1007,Spider-Man: Into the Spider-Verse,Comedy,2018,8.4,Bob Persichetti,497553,190.24,8.3,240928,8.5,37070
1008,Coco,Comedy,2017,8.4,Lee Unkrich,482539,209.73,8.3,220385,8.6,68637
1009,3 Idiots,Comedy,2009,8.4,Rajkumar Hirani,388645,6.53,8.3,217775,8.4,36878
1010,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,1964,8.4,Stanley Kubrick,482309,0.28,8.4,309088,8.1,41220
1011,The Great Dictator,Comedy,1940,8.4,Charles Chaplin,220954,0.29,8.4,139472,8.5,22622
1012,Everything Everywhere All at Once,Comedy,2022,8.3,Dan Kwan,124819,76.86,8.2,59212,8.4,10746
1013,Up,Comedy,2009,8.3,Pete Docter,1019506,293.0,8.2,550077,8.4,170546
1014,Toy Story 3,Comedy,2010,8.3,Lee Unkrich,818419,415.0,8.3,469331,8.3,118274
1015,Le fabuleux destin d'Amélie Poulain,Comedy,2001,8.3,Jean-Pierre Jeunet,745848,33.23,8.3,398044,8.5,153231
1016,Snatch,Comedy,2000,8.3,Guy Ritchie,839877,30.33,8.3,547370,8.1,78611
1017,Toy Story,Comedy,1995,8.3,John Lasseter,969784,191.8,8.3,531865,8.3,138117
1018,The Sting,Comedy,1973,8.3,George Roy Hill,258426,159.6,8.3,164925,8.2,24230
1019,The Apartment,Comedy,1960,8.3,Billy Wilder,178946,18.6,8.3,105393,8.1,25367
1020,Singin' in the Rain,Comedy,1952,8.3,Stanley Donen,238357,8.82,8.3,122750,8.5,48079
1021,The Kid,Comedy,1921,8.3,Charles Chaplin,124945,5.45,8.2,76039,8.4,13989
1022,Chhichhore,Comedy,2019,8.2,Nitesh Tiwari,50730,0.9,7.9,18567,8.0,1602
1023,Andhadhun,Comedy,2018,8.2,Sriram Raghavan,89928,1.37,8.1,47379,7.9,5128
1024,Green Book,Comedy,2018,8.2,Peter Farrelly,468738,85.08,8.2,234261,8.4,57189
1025,Inside Out,Comedy,2015,8.2,Pete Docter,692733,356.46,8.2,339112,8.2,111135
1026,Gangs of Wasseypur,Comedy,2012,8.2,Anurag Kashyap,94161,76.86,8.1,58227,6.9,3089
1027,The Wolf of Wall Street,Comedy,2013,8.2,Martin Scorsese,1351425,116.9,8.2,724097,7.8,160188
1028,Finding Nemo,Comedy,2003,8.2,Andrew Stanton,1022352,380.84,8.1,544458,8.4,176051
1029,"Lock, Stock and Two Smoking Barrels",Comedy,1998,8.2,Guy Ritchie,573218,3.9,8.2,386751,8.1,48550
1030,The Truman Show,Comedy,1998,8.2,Peter Weir,1044688,125.62,8.2,585233,8.1,139745
1031,Monty Python and the Holy Grail,Comedy,1975,8.2,Terry Gilliam,533612,1.23,8.2,327026,8.2,61174
1032,Some Like It Hot,Comedy,1959,8.2,Billy Wilder,263234,25.0,8.2,141262,8.4,50888
1033,To Be or Not to Be,Comedy,1942,8.2,Ernst Lubitsch,36393,76.86,8.2,23226,8.1,4341
1034,The General,Comedy,1926,8.2,Clyde Bruckman,90284,1.03,8.2,56967,8.0,8752
1035,The Gold Rush,Comedy,1925,8.2,Charles Chaplin,110081,5.45,8.2,70008,8.1,10593
1036,Sherlock Jr.,Comedy,1924,8.2,Buster Keaton,48892,0.98,8.2,30821,8.2,4845
1037,Dil Bechara,Comedy,2020,8.1,Mukesh Chhabra,129110,76.86,8.1,42110,8.3,4433
1038,"Three Billboards Outside Ebbing, Missouri",Comedy,2017,8.1,Martin McDonagh,493024,54.51,8.1,264975,8.2,64884
1039,Klaus,Comedy,2019,8.1,Sergio Pablos,143467,76.86,8.0,68399,8.4,19420
1040,Bajrangi Bhaijaan,Comedy,2015,8.1,Kabir Khan,85614,8.18,7.9,43807,8.1,4626
1041,Queen,Comedy,2013,8.1,Vikas Bahl,65323,1.43,8.1,39156,8.2,6011
1042,Relatos salvajes,Comedy,2014,8.1,Damián Szifron,194781,3.11,8.1,115221,8.2,26618
1043,PK,Comedy,2014,8.1,Rajkumar Hirani,180949,10.62,8.0,102246,8.1,13647
1044,OMG: Oh My God!,Comedy,2012,8.1,Umesh Shukla,57881,0.92,8.1,33769,7.7,2431
1045,The Grand Budapest Hotel,Comedy,2014,8.1,Wes Anderson,786334,59.1,8.1,425405,8.1,122596
1046,Barfi!,Comedy,2012,8.1,Anurag Basu,81066,2.8,8.1,50473,8.2,6951
1047,Zindagi Na Milegi Dobara,Comedy,2011,8.1,Zoya Akhtar,76485,3.11,8.1,47815,7.8,4936
1048,Mary and Max.,Comedy,2009,8.1,Adam Elliot,175557,76.86,8.0,101118,8.4,34058
1049,How to Train Your Dragon,Comedy,2010,8.1,Dean DeBlois,724131,217.58,8.0,396091,8.4,124894
1050,Rang De Basanti,Comedy,2006,8.1,Rakeysh Omprakash Mehra,118374,2.2,8.0,76446,7.7,8019
1051,Ratatouille,Comedy,2007,8.1,Brad Bird,710256,206.45,8.0,390306,8.1,121046
1052,Munna Bhai M.B.B.S.,Comedy,2003,8.1,Rajkumar Hirani,80726,76.86,8.1,51065,7.4,3983
1053,Dil Chahta Hai,Comedy,2001,8.1,Farhan Akhtar,71474,0.3,8.0,47150,7.6,5005
1054,Her Sey Çok Güzel Olacak,Comedy,1998,8.1,Ömer Vargi,25354,76.86,8.1,15906,8.0,2177
1055,Hera Pheri,Comedy,2000,8.1,Priyadarshan,65520,76.86,8.0,38001,7.1,2486
1056,"Monsters, Inc.",Comedy,2001,8.1,Pete Docter,888411,289.92,8.0,472004,8.3,145502
1057,The Iron Giant,Comedy,1999,8.1,Brad Bird,188736,23.16,8.0,117319,8.0,22508
1058,The Big Lebowski,Comedy,1998,8.1,Joel Coen,794059,17.5,8.1,502736,7.8,76084
1059,Underground,Comedy,1995,8.1,Emir Kusturica,58159,0.17,8.0,39268,8.3,7519
1060,Groundhog Day,Comedy,1993,8.1,Harold Ramis,618192,70.91,8.1,381512,7.7,78274
1061,Dom za vesanje,Comedy,1988,8.1,Emir Kusturica,30558,0.28,8.0,19339,8.4,4794
1062,Dead Poets Society,Comedy,1989,8.1,Peter Weir,475791,95.86,8.0,249807,8.3,80144
1063,Tonari no Totoro,Comedy,1988,8.1,Hayao Miyazaki,329783,1.11,8.1,164058,8.4,60688
1064,Jean de Florette,Comedy,1986,8.1,Claude Berri,25723,4.94,8.1,16171,8.0,3202
1065,Sholay,Comedy,1975,8.1,Ramesh Sippy,55221,76.86,8.1,36462,7.3,2346
1066,Paper Moon,Comedy,1973,8.1,Peter Bogdanovich,47169,30.93,8.1,27821,8.2,6072
1067,The Shop Around the Corner,Comedy,1940,8.1,Ernst Lubitsch,32716,0.2,8.0,18100,8.1,6846
1068,Mr. Smith Goes to Washington,Comedy,1939,8.1,Frank Capra,114669,9.6,8.1,69529,8.2,13868
1069,It Happened One Night,Comedy,1934,8.1,Frank Capra,102756,4.36,8.0,56775,8.3,17899
1070,The Circus,Comedy,1928,8.1,Charles Chaplin,33472,76.86,8.1,22326,8.1,3418
1071,Badhaai ho,Comedy,2018,8.0,Amit Ravindernath Sharma,33823,76.86,7.9,17857,7.8,1691
1072,La La Land,Comedy,2016,8.0,Damien Chazelle,568933,151.1,8.0,265066,7.8,97570
1073,Soul,Comedy,2020,8.0,Pete Docter,312880,76.86,8.0,138440,8.1,35128
1074,Zootopia,Comedy,2016,8.0,Byron Howard,485260,341.27,7.9,242546,8.2,74745
1075,Guardians of the Galaxy,Comedy,2014,8.0,James Gunn,1147170,333.18,8.0,631596,8.1,135273
1076,Deadpool,Comedy,2016,8.0,Tim Miller,1004072,363.07,7.9,532138,8.0,112904
1077,CODA,Comedy,2021,8.0,Sian Heder,114480,76.86,8.0,53867,8.1,12374
1078,Lage Raho Munna Bhai,Comedy,2006,8.0,Rajkumar Hirani,46650,2.22,8.0,30746,7.6,2300
1079,G.O.R.A.,Comedy,2004,8.0,Ömer Faruk Sorak,62291,76.86,7.9,38671,7.8,5290
1080,Yeopgijeogin geunyeo,Comedy,2001,8.0,Jae-young Kwak,47926,76.86,8.0,31266,7.8,7663
1081,Vizontele,Comedy,2001,8.0,Yilmaz Erdogan,36500,76.86,8.0,22786,7.9,3371
1082,"Crna macka, beli macor",Comedy,1998,8.0,Emir Kusturica,53512,0.35,8.0,35120,8.3,8361
1083,Secrets & Lies,Comedy,1996,8.0,Mike Leigh,42940,13.42,8.0,25688,7.9,7000
1084,Chung Hing sam lam,Comedy,1994,8.0,Kar-Wai Wong,78811,0.6,7.9,45102,8.1,11249
1085,Andaz Apna Apna,Comedy,1994,8.0,Rajkumar Santoshi,52988,76.86,8.0,34985,7.3,2669
1086,Aladdin,Comedy,1992,8.0,Ron Clements,406951,217.35,8.0,210589,8.2,80792
1087,Life of Brian,Comedy,1979,8.0,Terry Jones,394371,20.05,8.1,248161,8.0,41446
1088,Being There,Comedy,1979,8.0,Hal Ashby,71936,30.18,8.0,47755,7.8,7809
1089,Annie Hall,Comedy,1977,8.0,Woody Allen,263431,39.2,8.0,156484,7.8,41873
1090,Young Frankenstein,Comedy,1974,8.0,Mel Brooks,156342,86.3,7.9,98273,8.1,18922
1091,The Graduate,Comedy,1967,8.0,Mike Nichols,270500,104.95,8.0,165962,7.8,42635
1092,La dolce vita,Comedy,1960,8.0,Federico Fellini,72452,19.52,8.0,45377,7.9,10123
1093,Stalag 17,Comedy,1953,8.0,Billy Wilder,55549,76.86,8.0,38948,8.1,5287
1094,Roman Holiday,Comedy,1953,8.0,William Wyler,137185,76.86,8.0,68030,8.2,37258
1095,Kind Hearts and Coronets,Comedy,1949,8.0,Robert Hamer,37174,76.86,8.0,25316,8.0,4395
1096,Knives Out,Comedy,2019,7.9,Rian Johnson,595941,165.36,7.9,278308,7.8,68981
1097,Minnal Murali,Comedy,2021,7.9,Basil Joseph,27997,76.86,7.6,8643,7.6,403
1098,Padman,Comedy,2018,7.9,R. Balki,25627,1.66,7.8,13212,7.9,1941
1099,Sing Street,Comedy,2016,7.9,John Carney,92682,3.24,7.9,52222,7.9,13662
1100,Thor: Ragnarok,Comedy,2017,7.9,Taika Waititi,707449,315.06,7.8,355041,8.1,73307
1101,Jojo Rabbit,Comedy,2019,7.9,Taika Waititi,372185,0.35,7.8,184389,8.1,44373
1102,The Artist,Comedy,2011,7.9,Michel Hazanavicius,240202,44.67,7.8,151432,8.1,45373
1103,Dev.D,Comedy,2009,7.9,Anurag Kashyap,30528,0.01,8.0,22287,7.5,1426
1104,Jab We Met,Comedy,2007,7.9,Imtiaz Ali,52383,0.41,7.8,31455,7.9,5149
1105,Mimi,Comedy,2021,7.9,Rajesh Bhatia,37945,76.86,7.6,11265,7.7,1518
1106,Verdens verste menneske,Comedy,2021,7.9,Joachim Trier,48500,76.86,7.8,23899,7.9,6712
1107,In Bruges,Comedy,2008,7.9,Martin McDonagh,416310,7.76,7.9,285998,7.8,46635
1108,Fantastic Mr. Fox,Comedy,2009,7.9,Wes Anderson,226411,21.0,7.8,132801,7.8,33505
1109,C.R.A.Z.Y.,Comedy,2005,7.9,Jean-Marc Vallée,32804,76.86,7.8,20632,8.1,6674
1110,Shaun of the Dead,Comedy,2004,7.9,Edgar Wright,548767,13.54,7.9,352325,7.9,63589
1111,Kal Ho Naa Ho,Comedy,2003,7.9,Nikkhil Advani,68406,1.79,7.8,42360,7.9,6482
1112,No Man's Land,Comedy,2001,7.9,Danis Tanovic,46991,1.06,7.9,33285,8.1,4539
1113,Almost Famous,Comedy,2000,7.9,Cameron Crowe,273153,32.53,7.9,160262,7.8,48359
1114,Shrek,Comedy,2001,7.9,Andrew Adamson,662931,267.67,7.8,364171,8.0,109112
1115,Toy Story 2,Comedy,1999,7.9,John Lasseter,569543,245.85,7.9,325759,7.8,79801
1116,Knockin' on Heaven's Door,Comedy,1997,7.9,Thomas Jahn,30275,0.0,7.8,19547,8.3,3680
1117,Do the Right Thing,Comedy,1989,7.9,Spike Lee,100793,27.55,7.9,65377,7.8,8243
1118,Hannah and Her Sisters,Comedy,1986,7.9,Woody Allen,71158,40.08,7.9,44207,7.7,10784
1119,This Is Spinal Tap,Comedy,1984,7.9,Rob Reiner,138713,4.74,7.9,92853,7.8,13536
1120,A Christmas Story,Comedy,1983,7.9,Bob Clark,146566,20.61,7.9,84971,8.0,23598
1121,The Blues Brothers,Comedy,1980,7.9,John Landis,196793,57.23,7.9,126556,7.8,18599
1122,Manhattan,Comedy,1979,7.9,Woody Allen,139284,45.7,7.9,87657,7.7,20883
1123,Amarcord,Comedy,1973,7.9,Federico Fellini,43331,0.58,7.8,28321,7.9,4958
1124,Harold and Maude,Comedy,1971,7.9,Hal Ashby,76906,76.86,7.8,44820,8.2,14792
1125,Charade,Comedy,1963,7.9,Stanley Donen,76423,13.47,7.8,42729,8.0,14580
1126,Harvey,Comedy,1950,7.9,Henry Koster,55452,76.86,7.9,35084,8.2,8736
1127,Miracle on 34th Street,Comedy,1947,7.9,George Seaton,47476,2.65,7.8,26627,8.1,9431
1128,Arsenic and Old Lace,Comedy,1943,7.9,Frank Capra,70299,76.86,7.9,40694,8.2,13761
1129,Sullivan's Travels,Comedy,1941,7.9,Preston Sturges,26195,76.86,7.9,17492,7.9,3206
1130,The Philadelphia Story,Comedy,1940,7.9,George Cukor,68720,76.86,7.8,37614,8.2,14501
1131,La règle du jeu,Comedy,1939,7.9,Jean Renoir,28845,76.86,8.0,19766,7.7,2886
1132,The Thin Man,Comedy,1934,7.9,W.S. Van Dyke,29411,76.86,7.8,17439,8.2,4875
1133,The Gentlemen,Comedy,2019,7.8,Guy Ritchie,321945,76.86,7.7,169737,7.8,29228
1134,Hindi Medium,Comedy,2017,7.8,Saket Chaudhary,28309,76.86,7.7,15393,7.6,1467
1135,Isle of Dogs,Comedy,2018,7.8,Wes Anderson,164550,32.02,7.7,87055,8.0,20029
1136,Hunt for the Wilderpeople,Comedy,2016,7.8,Taika Waititi,128237,5.2,7.7,74758,8.1,16548
1137,Paddington 2,Comedy,2017,7.8,Paul King,75014,40.44,7.7,40634,7.9,9932
1138,Captain Fantastic,Comedy,2016,7.8,Matt Ross,215186,5.88,7.8,121927,8.0,32785
1139,Pride,Comedy,2014,7.8,Matthew Warchus,56269,76.86,7.6,30331,8.1,13152
1140,Vicky Donor,Comedy,2012,7.8,Shoojit Sircar,43002,0.17,7.8,28701,7.3,2071
1141,Big Hero 6,Comedy,2014,7.8,Don Hall,450796,222.53,7.7,238017,8.1,74299
1142,About Time,Comedy,2013,7.8,Richard Curtis,340193,15.32,7.7,172261,7.9,75947
1143,English Vinglish,Comedy,2012,7.8,Gauri Shinde,36140,1.67,7.8,22159,7.9,3891
1144,Moonrise Kingdom,Comedy,2012,7.8,Wes Anderson,345346,45.51,7.7,200388,7.8,63787
1145,How to Train Your Dragon 2,Comedy,2014,7.8,Dean DeBlois,329558,177.0,7.7,181538,8.1,55158
1146,The Big Short,Comedy,2015,7.8,Adam McKay,418914,70.26,7.8,247032,7.6,45585
1147,Little Miss Sunshine,Comedy,2006,7.8,Jonathan Dayton,472499,59.89,7.8,271016,8.0,98200
1148,Hot Fuzz,Comedy,2007,7.8,Edgar Wright,498123,23.64,7.8,327242,7.9,52499
1149,Tôkyô goddofâzâzu,Comedy,2003,7.8,Satoshi Kon,39289,0.13,7.7,22412,8.0,5772
1150,Les choristes,Comedy,2004,7.8,Christophe Barratier,61701,3.64,7.7,32015,8.2,15096
1151,Being John Malkovich,Comedy,1999,7.8,Spike Jonze,331555,22.86,7.8,205786,7.6,44546
1152,Ed Wood,Comedy,1994,7.8,Tim Burton,175004,5.89,7.9,111721,7.7,25433
1153,The Sandlot,Comedy,1993,7.8,David Mickey Evans,89957,32.42,7.7,52693,7.9,13003
1154,Crimes and Misdemeanors,Comedy,1989,7.8,Woody Allen,57751,18.25,7.9,38135,7.7,6484
1155,Back to the Future Part II,Comedy,1989,7.8,Robert Zemeckis,521019,118.5,7.8,319022,7.8,52062
1156,Ferris Bueller's Day Off,Comedy,1986,7.8,John Hughes,350296,70.14,7.7,200978,7.8,53683
1157,The Breakfast Club,Comedy,1985,7.8,John Hughes,388923,45.88,7.8,197225,8.0,83610
1158,Ghostbusters,Comedy,1984,7.8,Ivan Reitman,406749,238.63,7.8,248086,7.6,47083
1159,The King of Comedy,Comedy,1982,7.8,Martin Scorsese,101480,2.5,7.8,66830,7.5,6039
1160,Le charme discret de la bourgeoisie,Comedy,1972,7.8,Luis Buñuel,42631,0.2,7.8,27636,7.8,5470
1161,Guess Who's Coming to Dinner,Comedy,1967,7.8,Stanley Kramer,44950,56.7,7.7,26037,8.0,8206
1162,Mary Poppins,Comedy,1964,7.8,Robert Stevenson,170153,102.27,7.7,81461,8.1,42053
1163,To Have and Have Not,Comedy,1944,7.8,Howard Hawks,34410,76.86,7.8,21386,7.9,4696
1164,His Girl Friday,Comedy,1940,7.8,Howard Hawks,58184,0.3,7.8,34468,7.9,10363
1165,You Can't Take It with You,Comedy,1938,7.8,Frank Capra,25675,4.66,7.8,15392,8.0,4707
1166,Bringing Up Baby,Comedy,1938,7.8,Howard Hawks,61057,76.86,7.8,34671,8.0,12295
1167,A Night at the Opera,Comedy,1935,7.8,Sam Wood,32776,2.54,7.8,21686,7.9,3531
1168,Duck Soup,Comedy,1933,7.8,Leo McCarey,59862,76.86,7.8,40237,7.7,6698
1169,Deadpool 2,Comedy,2018,7.7,David Leitch,559065,324.59,7.6,297970,7.8,54288
1170,Perfetti sconosciuti,Comedy,2016,7.7,Paolo Genovese,64435,76.86,7.7,33117,7.9,12735
1171,Kapoor & Sons,Comedy,2016,7.7,Shakun Batra,26018,2.61,7.7,14458,7.6,2112
1172,En man som heter Ove,Comedy,2015,7.7,Hannes Holm,54111,3.36,7.6,31354,7.9,8815
1173,Kingsman: The Secret Service,Comedy,2014,7.7,Matthew Vaughn,655372,128.26,7.6,372400,7.8,84452
1174,Me and Earl and the Dying Girl,Comedy,2015,7.7,Alfonso Gomez-Rejon,130627,6.74,7.7,73737,7.7,23650
1175,Birdman or (The Unexpected Virtue of Ignorance),Comedy,2014,7.7,Alejandro G. Iñárritu,620350,42.34,7.7,365627,7.4,79636
1176,Toy Story 4,Comedy,2019,7.7,Josh Cooley,241046,434.04,7.7,122314,7.7,25509
1177,Nebraska,Comedy,2013,7.7,Alexander Payne,117635,17.65,7.7,81575,7.7,14974
1178,Wreck-It Ralph,Comedy,2012,7.7,Rich Moore,414175,189.42,7.7,236940,7.8,62836
1179,Midnight in Paris,Comedy,2011,7.7,Woody Allen,418380,56.82,7.7,232501,7.6,93892
1180,The Lego Movie,Comedy,2014,7.7,Phil Lord,348699,257.76,7.7,211242,7.6,43418
1181,The Hangover,Comedy,2009,7.7,Todd Phillips,770818,277.32,7.7,483899,7.6,108867
1182,Silver Linings Playbook,Comedy,2012,7.7,David O. Russell,700847,132.09,7.7,387636,7.6,148280
1183,Druk,Comedy,2020,7.7,Thomas Vinterberg,146019,76.86,7.7,77574,7.7,15591
1184,(500) Days of Summer,Comedy,2009,7.7,Marc Webb,505503,32.39,7.7,273314,7.6,119021
1185,Flipped,Comedy,2010,7.7,Rob Reiner,89210,1.75,7.6,41446,7.8,27256
1186,Toki o kakeru shôjo,Comedy,2006,7.7,Mamoru Hosoda,65585,76.86,7.6,36686,7.9,11118
1187,Adams æbler,Comedy,2005,7.7,Anders Thomas Jensen,50419,0.0,7.7,32616,7.9,7937
1188,Tangled,Comedy,2010,7.7,Nathan Greno,442902,200.82,7.6,203817,8.1,115457
1189,Kung fu,Comedy,2004,7.7,Stephen Chow,137720,17.11,7.7,97051,7.8,10150
1190,Lost in Translation,Comedy,2003,7.7,Sofia Coppola,446641,44.59,7.8,266167,7.5,71732
1191,Good Bye Lenin!,Comedy,2003,7.7,Wolfgang Becker,145249,4.06,7.7,87917,7.9,28571
1192,Les triplettes de Belleville,Comedy,2003,7.7,Sylvain Chomet,54267,7.0,7.7,32992,8.0,9992
1193,Adaptation.,Comedy,2002,7.7,Spike Jonze,191045,22.25,7.7,123848,7.3,23142
1194,Hedwig and the Angry Inch,Comedy,2001,7.7,John Cameron Mitchell,35459,3.03,7.6,18610,8.0,9095
1195,"O Brother, Where Art Thou?",Comedy,2000,7.7,Joel Coen,308160,45.51,7.7,197970,7.7,33777
1196,"South Park: Bigger, Longer & Uncut",Comedy,1999,7.7,Trey Parker,202998,52.04,7.8,136744,7.4,17380
1197,Office Space,Comedy,1999,7.7,Mike Judge,262648,10.82,7.7,175230,7.5,28559
1198,Happiness,Comedy,1998,7.7,Todd Solondz,69947,2.81,7.7,44960,7.6,9484
1199,As Good as It Gets,Comedy,1997,7.7,James L. Brooks,295846,148.48,7.7,175250,7.7,50189
1200,Il postino,Comedy,1994,7.7,Michael Radford,36299,21.85,7.7,21440,7.8,4846
1201,Clerks,Comedy,1994,7.7,Kevin Smith,220406,3.15,7.7,149299,7.5,20531
1202,Short Cuts,Comedy,1993,7.7,Robert Altman,44717,6.11,7.7,29352,7.4,4917
1203,Naked,Comedy,1993,7.7,Mike Leigh,39031,1.77,7.7,25065,7.7,4554
1204,The Muppet Christmas Carol,Comedy,1992,7.7,Brian Henson,57738,27.28,7.6,32020,8.0,10385
1205,Kurenai no buta,Comedy,1992,7.7,Hayao Miyazaki,87849,76.86,7.7,51856,7.5,11490
1206,Night on Earth,Comedy,1991,7.7,Jim Jarmusch,60149,2.02,7.6,37228,7.8,9032
1207,Home Alone,Comedy,1990,7.7,Chris Columbus,554990,285.76,7.6,296644,7.8,83213
1208,When Harry Met Sally...,Comedy,1989,7.7,Rob Reiner,215472,92.82,7.6,109206,7.7,51282
1209,Who Framed Roger Rabbit,Comedy,1988,7.7,Robert Zemeckis,198301,156.45,7.7,121372,7.6,26915
1210,Evil Dead II,Comedy,1987,7.7,Sam Raimi,161854,5.92,7.7,109099,7.4,11710
1211,Down by Law,Comedy,1986,7.7,Jim Jarmusch,51359,1.44,7.6,34315,7.9,5881
1212,The Purple Rose of Cairo,Comedy,1985,7.7,Woody Allen,51387,10.63,7.7,32295,7.7,7723
1213,The Goonies,Comedy,1985,7.7,Richard Donner,267259,61.5,7.7,157354,8.0,39394
1214,Zelig,Comedy,1983,7.7,Woody Allen,41955,11.8,7.7,27629,7.8,4885
1215,Airplane!,Comedy,1980,7.7,Jim Abrahams,234901,83.4,7.7,153444,7.4,20900
1216,Nashville,Comedy,1975,7.7,Robert Altman,26170,14.82,7.7,17629,7.3,2197
1217,Love and Death,Comedy,1975,7.7,Woody Allen,38393,76.86,7.6,25279,7.8,4275
1218,Blazing Saddles,Comedy,1974,7.7,Mel Brooks,137352,119.5,7.6,89911,7.7,12413
1219,The Quiet Man,Comedy,1952,7.7,John Ford,38483,10.55,7.6,23339,7.9,5115
1220,The Two Popes,Comedy,2019,7.6,Fernando Meirelles,121825,76.86,7.5,66499,7.7,15858
1221,The Mitchells vs the Machines,Comedy,2021,7.6,Michael Rianda,102956,76.86,7.6,50625,7.7,10162
1222,Ölümlü Dünya,Comedy,2018,7.6,Ali Atay,26444,76.86,7.6,13439,7.8,2978
1223,Ludo,Comedy,2020,7.6,Anurag Basu,38522,76.86,7.4,14380,7.5,1247
1224,Once Upon a Time in... Hollywood,Comedy,2019,7.6,Quentin Tarantino,695133,142.5,7.6,345015,7.4,67833
1225,Sanju,Comedy,2018,7.6,Rajkumar Hirani,53607,7.91,7.6,28844,7.6,2620
1226,The Peanut Butter Falcon,Comedy,2019,7.6,Tyler Nilson,86924,13.12,7.5,46584,7.7,9759
1227,Mr. Church,Comedy,2016,7.6,Bruce Beresford,28551,0.69,7.5,16234,7.8,4811
1228,Guardians of the Galaxy Vol. 2,Comedy,2017,7.6,James Gunn,656503,389.81,7.5,343899,7.8,68728
1229,Piku,Comedy,2015,7.6,Shoojit Sircar,31634,76.86,7.5,18239,7.4,2570
1230,Incredibles 2,Comedy,2018,7.6,Brad Bird,288001,608.58,7.5,146343,7.8,34252
1231,Moana,Comedy,2016,7.6,Ron Clements,323891,248.76,7.5,148137,7.9,59092
1232,What We Do in the Shadows,Comedy,2014,7.6,Jemaine Clement,179522,3.33,7.5,101208,7.9,28539
1233,Philomena,Comedy,2013,7.6,Stephen Frears,99585,37.71,7.6,57556,7.8,23440
1234,Tanu Weds Manu Returns,Comedy,2015,7.6,Aanand L. Rai,28742,76.86,7.6,17352,7.2,1554
1235,Wake Up Sid,Comedy,2009,7.6,Ayan Mukherjee,31096,0.72,7.5,19773,7.5,2416
1236,Despicable Me,Comedy,2010,7.6,Pierre Coffin,535455,251.51,7.5,292796,7.9,104748
1237,50/50,Comedy,2011,7.6,Jonathan Levine,328134,35.01,7.6,208541,7.6,63162
1238,Kick-Ass,Comedy,2010,7.6,Matthew Vaughn,555221,48.07,7.7,377281,7.4,63958
1239,Zombieland,Comedy,2009,7.6,Ruben Fleischer,565102,75.59,7.6,359091,7.6,67034
1240,Gake no ue no Ponyo,Comedy,2008,7.6,Hayao Miyazaki,140844,15.09,7.6,72189,7.8,30420
1241,Superbad,Comedy,2007,7.6,Greg Mottola,566444,121.46,7.6,367708,7.2,64789
1242,Volver,Comedy,2006,7.6,Pedro Almodóvar,101069,12.9,7.5,58258,7.7,22994
