,Name,Genre,Year,Imdb Rating,Director,Votes,Gross,malesRating,malesCount,femalesRating,femalesCount
60,How to Train Your Dragon,Action,2010,8.1,Dean DeBlois,724128,217.58,8.0,396089,8.4,124894
61,Pirates of the Caribbean: The Curse of the Black Pearl,Action,2003,8.1,Gore Verbinski,1100370,305.41,8.0,628479,8.2,170152
62,Hera Pheri,Action,2000,8.1,Priyadarshan,65518,76.86,8.0,38001,7.1,2485
63,Sarfarosh,Action,1999,8.1,John Mathew Matthan,25561,76.86,8.1,17758,7.5,1157
64,The Iron Giant,Action,1999,8.1,Brad Bird,188734,23.16,8.0,117318,8.0,22508
65,The Terminator,Action,1984,8.1,James Cameron,846475,38.4,8.1,546735,7.7,70301
66,Blade Runner,Action,1982,8.1,Ridley Scott,752905,32.87,8.1,469334,7.8,63469
67,Sholay,Action,1975,8.1,Ramesh Sippy,55220,76.86,8.1,36461,7.3,2346
68,Kakushi-toride no san-akunin,Action,1958,8.1,Akira Kurosawa,38730,76.86,8.1,26600,7.9,2596
69,White Heat,Action,1949,8.1,Raoul Walsh,32695,76.86,8.1,22609,8.0,2903
70,Kaththi,Action,2014,8.0,A.R. Murugadoss,26584,76.86,7.7,12322,7.1,403
71,Bãhubali: The Beginning,Action,2015,8.0,S.S. Rajamouli,119050,6.74,7.8,64099,7.7,3798
72,1 - Nenokkadine,Action,2014,8.0,Sukumar,45203,76.86,7.8,28409,6.9,1195
73,Thuppakki,Action,2012,8.0,A.R. Murugadoss,33917,76.86,7.7,17195,7.5,602
74,Guardians of the Galaxy,Action,2014,8.0,James Gunn,1147156,333.18,8.0,631590,8.1,135272
75,Blade Runner 2049,Action,2017,8.0,Denis Villeneuve,545718,92.05,8.0,315507,7.6,43980
76,The Revenant,Action,2015,8.0,Alejandro G. Iñárritu,782602,183.64,8.0,439397,7.8,82462
77,Tropa de Elite 2: O Inimigo Agora é Outro,Action,2010,8.0,José Padilha,82678,0.1,8.0,65429,8.0,5009
78,Deadpool,Action,2016,8.0,Tim Miller,1004057,363.07,7.9,532134,8.0,112904
79,Zack Snyder's Justice League,Action,2021,8.0,Zack Snyder,381461,76.86,7.9,176861,7.9,15942
80,Ip Man,Action,2008,8.0,Wilson Yip,222119,76.86,8.0,162929,7.9,13091
81,Dune: Part One,Action,2021,8.0,Denis Villeneuve,583216,108.33,8.0,264057,8.0,47699
82,Tropa de Elite,Action,2007,8.0,José Padilha,103248,0.01,8.0,79910,8.0,6625
83,The Avengers,Action,2012,8.0,Joss Whedon,1361369,623.28,8.0,798844,8.2,175764
84,The Bourne Ultimatum,Action,2007,8.0,Paul Greengrass,629085,227.47,8.0,432610,7.9,59433
85,Taegukgi hwinalrimyeo,Action,2004,8.0,Je-kyu Kang,39597,1.11,8.0,29523,8.0,2750
86,Casino Royale,Action,2006,8.0,Martin Campbell,647660,167.45,8.0,428616,7.8,58175
87,Kill Bill: Vol. 2,Action,2004,8.0,Quentin Tarantino,740563,66.21,8.0,459517,8.1,83700
88,Mou gaan dou,Action,2002,8.0,Andrew Lau,123884,0.17,8.0,86528,8.1,10431
89,The Incredibles,Action,2004,8.0,Brad Bird,716035,261.44,8.0,407836,7.9,104729
90,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Action,1997,8.0,Hideaki Anno,52768,76.86,7.9,29624,7.9,3403
91,Andaz Apna Apna,Action,1994,8.0,Rajkumar Santoshi,52988,76.86,8.0,34985,7.3,2669
92,Akira,Action,1988,8.0,Katsuhiro Ôtomo,182375,0.55,7.9,117720,7.7,12150
93,Sanjuro,Action,1962,8.0,Akira Kurosawa,37913,76.86,8.0,26096,8.0,2731
94,Minnal Murali,Action,2021,7.9,Basil Joseph,27996,76.86,7.6,8643,7.6,403
95,Airlift,Action,2016,7.9,Raja Menon,56631,76.86,7.8,31361,7.7,1967
96,Baby,Action,2015,7.9,Neeraj Pandey,57213,76.86,7.8,34199,7.5,1605
97,Thor: Ragnarok,Action,2017,7.9,Taika Waititi,707423,315.06,7.8,355036,8.1,73305
98,Serbuan maut 2: Berandal,Action,2014,7.9,Gareth Evans,122176,2.63,7.9,90468,7.7,4252
99,Vishwaroopam,Action,2013,7.9,Kamal Haasan,40078,76.86,7.9,28526,7.1,1143
100,X-Men: Days of Future Past,Action,2014,7.9,Bryan Singer,701450,233.92,7.9,428137,8.1,81547
101,The Batman,Action,2022,7.9,Matt Reeves,521724,76.86,7.8,218925,7.7,31598
102,Edge of Tomorrow,Action,2014,7.9,Doug Liman,660886,100.21,7.9,424536,7.7,57353
103,Nefes: Vatan Sagolsun,Action,2009,7.9,Levent Semerci,33598,76.86,7.9,24485,8.1,2201
104,District 9,Action,2009,7.9,Neill Blomkamp,672962,115.65,8.0,474078,7.8,63549
105,Star Trek,Action,2009,7.9,J.J. Abrams,599407,257.73,7.9,409021,8.2,74154
106,Letters from Iwo Jima,Action,2006,7.9,Clint Eastwood,161830,13.76,7.9,122087,7.8,11583
107,Iron Man,Action,2008,7.9,Jon Favreau,1032968,318.41,7.8,617917,7.9,117399
108,Ying xiong,Action,2002,7.9,Yimou Zhang,180507,53.71,7.9,126174,8.0,17371
109,The Bourne Identity,Action,2002,7.9,Doug Liman,540255,121.66,7.9,360110,7.7,52312
110,Children of Men,Action,2006,7.9,Alfonso Cuarón,493876,35.55,7.9,336180,7.6,54115
111,Wo hu cang long,Action,2000,7.9,Ang Lee,266749,128.08,7.8,172764,7.9,31027
112,Knockin' on Heaven's Door,Action,1997,7.9,Thomas Jahn,30274,0.0,7.8,19547,8.3,3680
113,Kôkaku Kidôtai,Action,1995,7.9,Mamoru Oshii,140950,0.52,7.9,92980,7.7,10427
114,The Blues Brothers,Action,1980,7.9,John Landis,196792,57.23,7.9,126556,7.8,18599
115,"Aguirre, der Zorn Gottes",Action,1972,7.9,Werner Herzog,56737,76.86,7.8,40160,7.6,4007
116,The Wild Bunch,Action,1969,7.9,Sam Peckinpah,84076,12.06,7.9,60822,7.3,4835
117,Per un pugno di dollari,Action,1964,7.9,Sergio Leone,214238,14.5,7.9,149654,7.7,10349
118,The Adventures of Robin Hood,Action,1938,7.9,Michael Curtiz,50780,3.98,7.9,33277,7.9,6111
119,The Gentlemen,Action,2019,7.8,Guy Ritchie,321915,76.86,7.7,169726,7.8,29224
120,Doragon bôru chô: Burorî,Action,2018,7.8,Tatsuya Nagamine,26576,30.71,7.7,15172,7.9,614
121,Dunkirk,Action,2017,7.8,Christopher Nolan,636843,188.37,7.8,355391,7.9,59235
122,Rogue One,Action,2016,7.8,Gareth Edwards,612222,532.18,7.7,353727,7.7,51743
123,Captain America: Civil War,Action,2016,7.8,Anthony Russo,760562,408.08,7.7,398279,7.8,71423
124,Star Wars: Episode VII - The Force Awakens,Action,2015,7.8,J.J. Abrams,914070,936.66,7.8,525934,8.1,85949
125,Big Hero 6,Action,2014,7.8,Don Hall,450787,222.53,7.7,238017,8.1,74299
126,Captain America: The Winter Soldier,Action,2014,7.8,Anthony Russo,822207,259.77,7.7,464134,7.8,88525
127,How to Train Your Dragon 2,Action,2014,7.8,Dean DeBlois,329550,177.0,7.7,181534,8.1,55158
128,Ang-ma-reul bo-at-da,Action,2010,7.8,Jee-woon Kim,127142,0.13,7.8,85252,7.6,11536
129,Captain Phillips,Action,2013,7.8,Paul Greengrass,452996,107.1,7.8,296121,7.9,48912
130,Chugyeokja,Action,2008,7.8,Na Hong-jin,65349,76.86,7.8,45417,7.8,4915
131,Skyfall,Action,2012,7.8,Sam Mendes,687780,304.36,7.7,449128,7.7,73776
132,The Fighter,Action,2010,7.8,David O. Russell,361906,93.62,7.8,253200,7.7,35388
133,Taken,Action,2008,7.8,Pierre Morel,595864,145.0,7.8,408685,7.7,67993
